batch_size,seq_len,time_eager,time_sdpa,speedup,mem_eager,mem_sdpa,mem_saving
4,256,0.005736406400001215,0.005089386200029367,11.279190399963834,62.7138671875,62.7138671875,0.0
4,512,0.00765386450002552,0.00728088729999854,4.873057264415076,75.7138671875,75.2138671875,0.6603810088867679
8,256,0.007150013999989824,0.006939262200012309,2.947571850597986,75.7138671875,75.2138671875,0.6603810088867679
8,512,0.013580707600021924,0.012903516300002593,4.986421326221897,95.7138671875,96.7138671875,-1.0447806878819723
16,256,0.01266250159997071,0.012593017100016368,0.5487422797601258,95.7138671875,96.7138671875,-1.0447806878819723
16,512,0.025305740699968736,0.024048600799983434,4.967805190491245,139.7138671875,139.7138671875,0.0
